Term,Coefficient,Signal
silver light,-0.7328897264633194,Normal-indicative
stripe,0.7209810002259612,Return-indicative
jam,-0.7128171478004978,Normal-indicative
calm,0.6679166521592723,Return-indicative
keep calm,0.6679166521592723,Return-indicative
pantry design,-0.6674176133506459,Normal-indicative
napkins,0.6492560501995367,Return-indicative
bag pink,-0.6336934218525047,Normal-indicative
bird ornament,-0.5982982012994595,Normal-indicative
colour bird,-0.5982982012994595,Normal-indicative
ornament,-0.5982982012994595,Normal-indicative
rose,-0.5608641770018162,Normal-indicative
chain kit,-0.5559012241712051,Normal-indicative
paper chain,-0.5559012241712051,Normal-indicative
gardeners kneeling,-0.5458324106243256,Normal-indicative
gardeners,-0.5458324106243256,Normal-indicative
kneeling pad,-0.5458324106243256,Normal-indicative
trinket,0.5197195725838641,Return-indicative
dog,0.511865577507938,Return-indicative
hand,-0.5054479357113786,Normal-indicative
rabbit,0.4962852999418688,Return-indicative
tray,-0.44331021863618586,Normal-indicative
butterfly,0.4255430118204222,Return-indicative
black,-0.4225080260543072,Normal-indicative
bag apples,0.40956081599439187,Return-indicative
box,0.4089176342616275,Return-indicative
garden,-0.3830274720426072,Normal-indicative
50 christmas,0.35190791647861,Return-indicative
metal door,-0.3447452186384135,Normal-indicative
french blue,-0.3447452186384135,Normal-indicative
24,0.33274460774122183,Return-indicative
saucer,-0.32701467891406316,Normal-indicative
fairy cake,-0.32115338806208493,Normal-indicative
mini,0.25892129760590943,Return-indicative
alarm clock,-0.2558638659126973,Normal-indicative
alarm,-0.2558638659126973,Normal-indicative
hot,0.24252316130180263,Return-indicative
finish,0.23187635046256244,Return-indicative
ceramic,-0.219727678922474,Normal-indicative
zinc light,-0.20021850470804267,Normal-indicative
blue metal,-0.1618575320850676,Normal-indicative
cat,0.1612968975146126,Return-indicative
bag red,-0.13126675237774876,Normal-indicative
in,0.11750378707531627,Return-indicative
snack,-0.10940424499194429,Normal-indicative
dinosaur,0.0979464282021015,Return-indicative
jam jar,-0.0914949342349224,Normal-indicative
tonic,0.0624147602513847,Return-indicative
tree,-0.04308425458888566,Normal-indicative
biscuit,-0.028675593000400023,Normal-indicative
